Level 1 Term,Level 2 Term,Level 3 Term,Code,Definition,Non-IMDRF Code/Term,Status,Status Description,CodeHierarchy
,Device Contaminated at the User Facility,,A1804,"Problem associated with the presence of any unexpected foreign substance found on the surface or in the package materials, which may affect optimal performance for its intended use, and which occurred at the user facility.",,New,"Term was added on 18 March 2020 for coding of contamination at the user facility which was originally included in ""Contamination During Use"" (A1801).",A18|A1804
Environmental Compatibility Problem,,,A19,"Problem associated with the surrounding conditions in which the device is being used such as temperature, noise, lighting, ventilation, or other external factors such as power supply.",,,,A19
,Ambient Noise Problem,,A1901,Problem associated with any undesired acoustic energy or vibration that tends to interfere with the operation of the device.,,,,A19|A1901
,Ambient Temperature Problem,,A1902,Problem associated with compromised device performance at the ambient temperature or the storage at an inappropriate ambient temperature.,,,,A19|A1902
,Fumes or Vapors,,A1903,"Problem associated with the visibility, odor, or toxicity of an ambient vapor or gas.",,,,A19|A1903
,Fungus in Device Environment,,A1904,"Problem associated with the visibility of molds, mildews, yeasts, and/or mushrooms in the immediate environment in which the device is being used.",,,,A19|A1904
,Moisture or Humidity Problem,,A1905,Problem associated with an unsatisfactory humidity level in the storage or use environment which affects the device performance.,,,,A19|A1905
,,Moisture Damage,A190501,Problem associated with damage inflicted upon the device from water vapor or water in the immediate environment in which the device is being used.,,,,A19|A1905|A190501
,Ventilation Problem in Device Environment,,A1906,Problem associated with the circulation of fresh air in the immediate atmosphere in which the device is being used.,,,,A19|A1906
,,Fogging,A190601,Problem associated with the visibility of water vapor in the immediate atmosphere in which the device is being used.,,,,A19|A1906|A190601
,Device Unsafe to Use in Environment,,A1907,"Problem associated with environmental condition that results in the unsafe use of the device. (e.g. electromagnetic fields, noise, vibration, microbiological contamination etc.)",,,,A19|A1907
,Environmental Particulates,,A1908,"Problem associated with fine solids or liquid particles such as dust, smoke, fume, and/or mist suspended in the immediate atmosphere in which the device is being used.",,,,A19|A1908
,Medical Gas Supply Problem,,A1909,"Problem associated with the facility-supplied medical gases such as medical air, oxygen, nitrous oxide, and nitrogen.",,,,A19|A1909
,Electrical Power Problem,,A1910,Problem associated with the quality of the facility-supplied power.,,,,A19|A1910
,,Emergency Power Failure,A191001,Problem associated with the failure of the facility's emergency power backup system(s) including generators and/or interruptible power systems (UPS).,,,,A19|A1910|A191001
,,Loss of Power,A191002,Problem associated with the failure of primary power supplied by the facility.,,,,A19|A1910|A191002
,,Power Conditioning Problem,A191003,"Problem associated with a momentary overpower/over voltage from the utility and electrical systems of user facilities; - Problem associated with inadequate power conditioning such as the presence of fluctuation, surges, spikes, dropouts, noise and other such undesirable transients.",,,,A19|A1910|A191003
Installation-Related Problem,,,A20,"Problem associated with unsatisfactory installation, configuration, and/or setup of a specific device.",,,,A20
,Misassembled During Installation,,A2001,"Problem associated with the use of the device characterized by incorrect assembly of device components, parts or constituents.",,,,A20|A2001
"Labelling, Instructions for Use or Training Problem",,,A21,"Problem associated with device markings/labelling, instructions for use, training and maintenance documentation or guidelines.",,,,A21
,Device Markings/Labelling Problem,,A2101,"Problem associated with the written, printed or graphic material accompanying or affixed to the device or any of its packaging. This includes verbal instructions relating to identification, technical description, and usage provided by the device manufacturers. Problems can include but are not limited to this material being unclear, missing, worn out, incorrect or inaccurate.",,,,A21|A2101
,,Expiration Date Error,A210101,Problem associated with errors in identification of expiration date.,,,,A21|A2101|A210101
,,Illegible Information,A210102,Problem associated with information unable to be read or deciphered.,,,,A21|A2101|A210102
,,Inaccurate Information,A210103,"Problem associated with imprecise, inexact information.",,,,A21|A2101|A210103
,,Unclear Information,A210104,"Problem associated with ambiguous, confused information.",,,,A21|A2101|A210104
,,Missing Information,A210105,"Absence of information e.g. labeling, instruction for use.",,,,A21|A2101|A210105
,Lack of Maintenance Documentation or Guidelines,,A2102,"Problem associated with user facility not receiving adequate service documentation, guidelines, or recommendations to perform preventative and corrective maintenance and performance assurance checks.",,,,A21|A2102
,Inadequate Instructions for Healthcare Professional,,A2103,"Problem associated with inaccuracies in any written, printed, or graphic matter that is affixed to the device or its packaging with any matter that accompanies the device including verbal instructions related to identification, technical description and use of device provided by the device manufacturers that is intended for healthcare professionals.",,,,A21|A2103
,Inadequate Instructions for Non-Healthcare Professional,,A2104,"Problem associated with users being unclear and not able to follow any written, printed, or graphic matter that is affixed to device or its packaging with any matter that accompanies the device including verbal instructions related to identification, technical description and use of the device provided by the device manufactures that vary from the standard of medical care in a given environment.",,,,A21|A2104
,Inadequate or Insufficient Training,,A2105,Problem associated with facility not providing satisfactory initial and/or periodic user training covering operation of the device.,,,,A21|A2105
Human-Device Interface Problem,,,A22,Problem associated with an act or omission of an act that has a different result than that intended by the manufacturer or expected by the operator.,,,,A22
,Device Difficult to Setup or Prepare,,A2201,"Problem associated with the use of the device in terms of user experiencing difficulty in preparing device for use, even if the operation is being performed according to labeled instructions for use.",,,,A22|A2201
,Device Difficult to Program or Calibrate,,A2202,"The device is difficult to program, calibrate or set to desired state, even by appropriately trained user/operator.",,,,A22|A2202
,Device Difficult to Maintain,,A2203,"Problem associated with the user's ability to service the device according to the manufacturer specifications relating to the device routine maintenance, i.e., periodic inspection, failure detection, repair, and care of the device to sustain or restore acceptable operating conditions.",,,,A22|A2203
,Inadequate User Interface,,A2204,Problem associated with the means by which the operator and the equipment communicate or interact.,,,,A22|A2204
Use of Device Problem,,,A23,"Problem associated with failure to process, service, or operate the device according to the manufacturer's recommendations or recognized best practices.",,,,A23
,Device Handling Problem,,A2301,"Handling of the device not in accordance with specification, prior to use on the patient.",,,,A23|A2301
,Use of Incorrect Control Settings,,A2302,Problem associated with the use of the device in terms of inappropriate and false control setting for the device's specified operation and/or intended use.,,,,A23|A2302
,Improper or Incorrect Procedure or Method,,A2303,"Problem associated with the use of the device in terms of nonconforming to that device's intended use, specifications, procedure and process or service instructions and information provided by the device manufacturers.",,,,A23|A2303
,Off-Label Use,,A2304,Problem associated with the device which has been used for an unapproved indication or for an unapproved intended use.,,,,A23|A2304
,Misassembled,,A2305,Problem associated with incorrect assembly of the device or constituents after being put into use.,,,,A23|A2305
,,Misassembly by Users,A230501,Problem associated with incorrect assembly of the device or constituents by the users.,,,,A23|A2305|A230501
,,Misassembly During Maintenance/Repair,A230502,Problem associated with incorrect assembly of the device or constituents during maintenance or repair.,,,,A23|A2305|A230502
Adverse Event Without Identified Device or Use Problem,,,A24,"An adverse event (e.g. patient harm) appears to have occurred, but there does not appear to have been a problem with the device or the way it was used.",,,,A24
No Apparent Adverse Event,,,A25,"A report has been received but the description provided does not appear to relate to an adverse event. This code allows a report to be recorded for administration purposes, even if it doesn't meet the requirements for adverse event reporting.",,,,A25
Insufficient Information,,,A26,An adverse event appears to have occurred but there is not yet enough information available to classify the device problem.,,,,A26
Appropriate Term/Code Not Available,,,A27,The device problem is not adequately described by any other term. Note: this code must not be used unless there is no other feasible code. The preferred term should be documented when submitting an adverse event report. This information will be used to determine if a new term should be added to the code table.,,,,A27
